epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0833,1.08755,1.98928,1.45865,0.53593,0.33333,0.39947,0.24371,1.51743,2.62176,2.08325,0.000653061,0.000653061,0.000653061
2,28.8696,1.15013,1.70362,1.5112,0.36598,0.34921,0.28327,0.11596,1.99452,2.72683,2.66334,0.0012544,0.0012544,0.0012544
3,42.4364,1.22205,1.66882,1.53836,0.20129,0.29365,0.13803,0.04393,2.41282,3.56144,2.79684,0.00178974,0.00178974,0.00178974
4,55.7108,1.24172,1.63905,1.56432,0.54716,0.43154,0.44026,0.2097,1.90847,2.35318,2.4985,0.001703,0.001703,0.001703
5,68.8613,1.17251,1.5057,1.52471,0.58601,0.42857,0.43583,0.22039,1.93957,2.30112,2.4724,0.001604,0.001604,0.001604
6,81.7565,1.11656,1.41458,1.48573,0.48477,0.46825,0.38215,0.2176,1.65824,2.14423,2.17041,0.001505,0.001505,0.001505
7,95.0824,1.13092,1.37342,1.46969,0.53049,0.5,0.43378,0.21552,1.74537,1.88667,2.26845,0.001406,0.001406,0.001406
8,108.313,1.09407,1.32719,1.46105,0.69101,0.51471,0.56978,0.36497,1.46146,1.42941,1.982,0.001307,0.001307,0.001307
9,121.978,1.06256,1.2561,1.42787,0.76025,0.52854,0.62859,0.44981,1.15698,1.25327,1.67499,0.001208,0.001208,0.001208
10,134.763,1.0391,1.20803,1.4178,0.71668,0.57937,0.59955,0.42412,1.38135,1.43635,1.81557,0.001109,0.001109,0.001109
11,150.428,0.91021,1.13889,1.41059,0.71891,0.56836,0.57291,0.37783,1.27541,1.56846,1.86742,0.00101,0.00101,0.00101
12,163.192,0.8402,0.9714,1.33713,0.83688,0.54762,0.63207,0.41853,1.2288,1.35447,1.75121,0.000911,0.000911,0.000911
13,174.977,0.78468,0.87828,1.2752,0.75436,0.60933,0.65466,0.44722,1.11266,1.26773,1.60548,0.000812,0.000812,0.000812
14,187.577,0.71186,0.78336,1.23895,0.76784,0.59524,0.61682,0.4498,1.04176,1.2273,1.50282,0.000713,0.000713,0.000713
15,199.677,0.70846,0.79366,1.2445,0.689,0.69841,0.66722,0.49105,0.98472,1.09885,1.5223,0.000614,0.000614,0.000614
16,212.318,0.62774,0.70057,1.16485,0.7056,0.7038,0.70776,0.53795,0.96654,1.07474,1.50106,0.000515,0.000515,0.000515
17,225.116,0.59255,0.66866,1.15202,0.83118,0.58612,0.64958,0.46976,1.01642,1.15466,1.5038,0.000416,0.000416,0.000416
18,237.572,0.56124,0.60923,1.10325,0.85778,0.60317,0.68383,0.51656,0.90437,0.98342,1.42814,0.000317,0.000317,0.000317
19,250.21,0.52823,0.58161,1.08946,0.72143,0.6746,0.69607,0.54667,0.86692,0.92684,1.42389,0.000218,0.000218,0.000218
20,262.188,0.51305,0.55082,1.08982,0.84384,0.61905,0.70313,0.55445,0.81168,0.90871,1.39092,0.000119,0.000119,0.000119
