epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.646,1.76734,2.66621,1.73129,0.00771,0.91416,0.18451,0.06905,1.8732,3.17774,1.87885,0.00036674,0.00036674,0.00036674
2,225.88,1.70051,2.2883,1.68148,0.4685,0.17411,0.24681,0.09846,1.95067,2.84202,1.9329,0.000713018,0.000713018,0.000713018
3,343.461,1.74413,2.314,1.74809,0.26033,0.20536,0.18186,0.07094,2.25285,2.92925,2.26483,0.00102134,0.00102134,0.00102134
4,457.12,1.73868,2.27473,1.74048,0.24987,0.43973,0.2128,0.07519,2.45618,3.0451,2.71576,0.0012917,0.0012917,0.0012917
5,573.76,1.75583,2.21037,1.75336,0.09976,0.46464,0.0976,0.03584,2.60211,6.55342,2.65384,0.00133693,0.00133693,0.00133693
6,694.697,1.66712,2.12145,1.7074,0.3805,0.28819,0.21733,0.0842,2.50734,3.1131,2.57569,0.00125442,0.00125442,0.00125442
7,819.125,1.67192,2.03022,1.66603,0.19069,0.43202,0.13682,0.04936,2.56451,4.08297,2.77777,0.0011719,0.0011719,0.0011719
8,945.042,1.66255,1.97101,1.65513,0.33876,0.43443,0.31094,0.10915,2.15715,2.65404,2.07745,0.00108938,0.00108938,0.00108938
9,1065.31,1.58435,1.91509,1.60279,0.3693,0.49732,0.34629,0.15503,1.88706,2.28114,1.84939,0.00100687,0.00100687,0.00100687
10,1184.24,1.5641,1.89462,1.61397,0.29113,0.41376,0.23916,0.09119,2.12729,3.21075,2.29195,0.000924352,0.000924352,0.000924352
11,1299.3,1.5748,1.92552,1.66481,0.34523,0.30824,0.27658,0.11591,1.97412,2.66337,1.98625,0.000841835,0.000841835,0.000841835
12,1414.07,1.54806,1.77146,1.64032,0.32806,0.50081,0.29474,0.12052,1.91383,2.44293,1.88137,0.000759318,0.000759318,0.000759318
13,1529.02,1.45545,1.64378,1.56629,0.29408,0.5428,0.39709,0.18154,1.90166,2.13199,1.8117,0.000676802,0.000676802,0.000676802
14,1644.1,1.41367,1.60812,1.53882,0.52192,0.3681,0.38472,0.16262,1.91213,2.26533,1.84169,0.000594286,0.000594286,0.000594286
15,1758.46,1.36704,1.48834,1.47677,0.46482,0.53302,0.44579,0.19247,1.83711,2.06657,1.80138,0.000511769,0.000511769,0.000511769
16,1873.2,1.33926,1.4323,1.48174,0.46967,0.34436,0.41122,0.18889,1.82169,2.08667,1.76236,0.000429253,0.000429253,0.000429253
17,1987.93,1.32897,1.35674,1.43028,0.41244,0.48093,0.46602,0.22796,1.74288,1.95257,1.69013,0.000346736,0.000346736,0.000346736
18,2102.7,1.27983,1.31632,1.40427,0.41252,0.5071,0.43966,0.20546,1.79139,2.02684,1.74891,0.00026422,0.00026422,0.00026422
19,2217.15,1.20108,1.20556,1.36354,0.51435,0.55134,0.50172,0.23704,1.79716,1.97566,1.74299,0.000181703,0.000181703,0.000181703
20,2331.91,1.22023,1.19974,1.35065,0.48716,0.50061,0.49818,0.23306,1.78533,1.90189,1.71522,9.91865e-05,9.91865e-05,9.91865e-05
