epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.01,1.19352,3.58337,1.61785,0.00462,0.98889,0.17515,0.07926,1.20016,4.13353,1.83804,0.000250993,0.000250993,0.000250993
2,477.536,1.12937,3.10372,1.60258,0.41297,0.25258,0.17885,0.08613,1.53884,3.72858,2.25821,0.000497281,0.000497281,0.000497281
3,704.509,1.18294,2.88696,1.62036,0.10316,0.31756,0.10254,0.04382,1.93584,5.34252,2.59392,0.000733419,0.000733419,0.000733419
4,946.513,1.20706,2.75201,1.63939,0.09124,0.38739,0.11916,0.05717,1.62972,7.04232,2.4104,0.000723321,0.000723321,0.000723321
5,1207.35,1.18536,2.65353,1.60574,0.69939,0.24348,0.24087,0.1068,1.71994,4.04978,2.42764,0.000708095,0.000708095,0.000708095
6,1480.81,1.14548,2.57623,1.58081,0.2119,0.38589,0.25336,0.12676,1.40091,3.14021,2.14758,0.000692869,0.000692869,0.000692869
7,1742.96,1.10864,2.46379,1.56119,0.27308,0.39746,0.34465,0.19317,1.45255,2.80524,2.13848,0.000677643,0.000677643,0.000677643
8,2000.33,1.11931,2.40582,1.56664,0.37927,0.50015,0.4019,0.22648,1.4,3.03296,2.15095,0.000662417,0.000662417,0.000662417
9,2279.89,1.08356,2.31072,1.52312,0.34145,0.3777,0.31075,0.19097,1.40518,2.84581,2.13403,0.00064719,0.00064719,0.00064719
10,2548.89,1.08966,2.22046,1.53751,0.33431,0.38957,0.3533,0.19676,1.448,2.64322,2.07356,0.000631964,0.000631964,0.000631964
11,2782.37,1.04049,2.14247,1.48929,0.31671,0.44093,0.36283,0.22029,1.4127,2.57659,2.21461,0.000616738,0.000616738,0.000616738
12,3017.64,1.08248,2.13529,1.51201,0.42138,0.39315,0.40713,0.23255,1.55506,2.36063,2.23321,0.000601512,0.000601512,0.000601512
13,3248.53,1.04067,1.99447,1.48398,0.53887,0.46998,0.54832,0.32416,1.31734,2.19967,1.92906,0.000586286,0.000586286,0.000586286
14,3475.04,1.04052,1.94427,1.48015,0.32139,0.43859,0.38397,0.22583,1.37909,2.93991,1.98072,0.000571059,0.000571059,0.000571059
15,3703.3,1.00957,1.86775,1.46431,0.42421,0.53895,0.46826,0.27071,1.49956,2.53074,2.10271,0.000555833,0.000555833,0.000555833
16,3930.05,1.00021,1.85033,1.47303,0.46417,0.54418,0.5676,0.32918,1.33517,2.14245,2.0077,0.000540607,0.000540607,0.000540607
17,4166.8,0.96463,1.78274,1.4254,0.47358,0.47816,0.52406,0.33046,1.33901,2.0878,1.93593,0.000525381,0.000525381,0.000525381
18,4409.79,0.96,1.69099,1.41819,0.48876,0.49047,0.53749,0.32099,1.34923,2.24465,2.00172,0.000510155,0.000510155,0.000510155
19,4662.21,0.95147,1.65052,1.41931,0.52194,0.5577,0.5754,0.29577,1.49307,1.93347,2.10308,0.000494928,0.000494928,0.000494928
20,4919.13,0.96626,1.59605,1.41099,0.51974,0.63994,0.61452,0.34907,1.36336,1.88188,2.03509,0.000479702,0.000479702,0.000479702
21,5165.42,0.9485,1.56643,1.41029,0.72674,0.4515,0.58129,0.367,1.34289,1.9643,1.98775,0.000464476,0.000464476,0.000464476
22,5404.87,0.87743,1.46494,1.35097,0.47228,0.7332,0.64359,0.39209,1.28486,1.81095,1.91284,0.00044925,0.00044925,0.00044925
23,5648.83,0.90252,1.49857,1.37155,0.52855,0.57527,0.57637,0.3573,1.28304,1.94334,1.88233,0.000434024,0.000434024,0.000434024
24,5893.35,0.90948,1.45462,1.38689,0.62207,0.56284,0.63994,0.3844,1.29572,1.77376,1.95899,0.000418797,0.000418797,0.000418797
25,6151.06,0.87908,1.37435,1.33911,0.61073,0.54365,0.60344,0.37833,1.30836,1.86276,1.97517,0.000403571,0.000403571,0.000403571
26,6398.01,0.86394,1.35799,1.34756,0.63619,0.61991,0.68138,0.41595,1.24731,1.73727,1.90792,0.000388345,0.000388345,0.000388345
27,6642.44,0.84745,1.3829,1.34151,0.63063,0.64135,0.69729,0.44787,1.21238,1.60695,1.8086,0.000373119,0.000373119,0.000373119
28,6886.34,0.85846,1.2622,1.33202,0.54813,0.65715,0.66231,0.3944,1.27664,1.72927,1.93635,0.000357893,0.000357893,0.000357893
